,Tweet,Account,Score,Leaning
0,#worldcancerday thoughts everyone bravely battling cancer sadly lost lives thi… ,@conservatives,-2,conservative
1,tonight honoured captain sir tom moore health workers recognised fundraising. #clapforcaptai… ,@conservatives,-2,conservative
2,today i've seen fantastic work nhs staff &amp; volunteers new vaccination centre set neasden. message t… ,@conservatives,-2,conservative
3,watch live: update coronavirus (3 february 2021) ,@conservatives,-2,conservative
4,"we’re supporting tens thousands jobs film &amp; tv sector, giving productions confidence need get back running ",@conservatives,-2,conservative
5,it’s fantastic million people uk got first dose vaccine. thank everyone has… ,@conservatives,-2,conservative
6,million people across uk received coronavirus vaccine continue accelerate vaccination programme ,@conservatives,-2,conservative
7,million people received first dose covid vaccine. hugely significant milestone our… ,@conservatives,-2,conservative
8,"want end transmission hiv 2030. lowest rates transmission decades &amp; one best track records treatment world, making progress us need take test. give hiv finger. visit ",@conservatives,-2,conservative
9,wanted stay european medicines agency said so.... starmer: “i’ve never said that” amnesia pla… ,@conservatives,-2,conservative
10,"tonight 6pm we’ll put hands together show appreciation captain sir tom moore, stood and… ",@conservatives,-2,conservative
11,tonight 6pm clap honour life sir health workers recognised… ,@conservatives,-2,conservative
12,i’m delighted announce appointed youth mental health ambassador. young people h… ,@conservatives,-2,conservative
13,commitment people northern ireland union unshakeable. recent eu moves undermined protoc… ,@conservatives,-2,conservative
14,really encouraging study - thank teams &amp; vaccines way t… ,@conservatives,-2,conservative
15,tonight union flag flies half mast memory life captain sir tom moore. ,@conservatives,-2,conservative
16,captain sir tom moore hero truest sense word. legacy long live him. ,@conservatives,-2,conservative
17,,@conservatives,-2,conservative
18,"rest peace captain sir tom moore, hero inspired nation. ",@conservatives,-2,conservative
19,"prioritised protected care home residents, offering covid vaccine residents every eligible care home across england. ",@conservatives,-2,conservative
20,today we've announced additional £50 million support university students facing difficulties result pandemic. ,@conservatives,-2,conservative
21,great see brilliant work community leaders today batley - everyone coming together get jabs people’s… ,@conservatives,-2,conservative
22,90% people aged received first vaccine dose. vaccine also offered res… ,@conservatives,-2,conservative
23,"9,200,000 people vaccinated. ""that includes 931,204 vaccinations weekend... that's one every… ",@conservatives,-2,conservative
24,watch live: #coronavirus press conference (1 february 2021) speakers: secretary dr su… ,@conservatives,-2,conservative
25,labour playing politics every turn. conservatives getting job. ,@conservatives,-2,conservative
26,morning prime minister visited local vaccination service based al-hikmah community centre… ,@conservatives,-2,conservative
27,formally notified #cptpp nations intent join. membership will: heart o… ,@conservatives,-2,conservative
28,vaccine offered residents every eligible care home england. huge step forward path beat… ,@conservatives,-2,conservative
29,wishing everyone happy lgbt+ history month! #lgbthm21 ,@conservatives,-2,conservative
30,"thoughts much family. you’ve inspired whole nation, know w… ",@conservatives,-2,conservative
31,"i'm delighted 598,389 people received first covid vaccine yesterday - highest day far. vaccine adm… ",@conservatives,-2,conservative
32,we’re seizing opportunities brexit applying join comprehensive progressive trans-pacific partnership. £9 trillion trade partnership would deepen trade ties fastest-growing markets world. #globalbritain #cptpp ,@conservatives,-2,conservative
33,"year ago today left eu delivered manifesto promise get brexit done. we’ve taken back control laws, borders money - we're securing trade deals world. #globalbritain ",@conservatives,-2,conservative
34,"labour calling jcvi, vaccine experts, ""to look evidence"" think they've u… ",@conservatives,-2,conservative
35,".@rachelreevesmp #marr ""we're saying teachers vaccinated phase one"" 1st line labour pre… ",@conservatives,-2,conservative
36,read oped joining asia pac trade area #cptpp huge opportunity business global br… ,@conservatives,-2,conservative
37,"hong kong british national (overseas) visa open applications. bno citizens choice live, work… ",@conservatives,-2,conservative
38,"thanks collective national effort, we're defeating virus. 8.3 million people covid vaccin… ",@conservatives,-2,conservative
39,"tomorrow formally apply join #cptpp membership help drive export- led, jobs-led recovery across br… ",@conservatives,-2,conservative
40,million people across united kingdom received first vaccine dose. thank everyone w… ,@conservatives,-2,conservative
41,delighted 8.3 million people received covid vaccine. we're making great progress national effort t… ,@conservatives,-2,conservative
42,"highlight day virtually drop year class st joseph’s catholic primary school, upminster… ",@conservatives,-2,conservative
43,we’re giving boost airports ground handlers across england support pandemic. ,@conservatives,-2,conservative
44,year ago week got brexit done. since global britain hasn’t wasted day - seizing vast opportunities create jobs propel economic growth. ,@conservatives,-2,conservative
45,encouraging early trials vaccine developed janssen show effective coronavirus. h… ,@conservatives,-2,conservative
46,"prime minister scotland today meeting healthcare staff, scientists military personnel who… ",@conservatives,-2,conservative
47,great news positive phase trial results. million doses already order nhs s… ,@conservatives,-2,conservative
48,good news vaccine proved effective uk trials. thank volunteers made res… ,@conservatives,-2,conservative
49,"conservatives, davos organisations using ""build back better"" slogan. britain needs saving, rebuilding. ""build back better"" ethos simply trojan horse implement policies detrimental ordinary, working brits. ",@ukip,-2,conservative
50,join friday 7pm live youtube facebook guest let's connect! -- ,@ukip,-2,conservative
51,"wonderful labour perceives veterans token group thrown ""rebranding"" plans. actu… ",@ukip,-2,conservative
52,joining us friday weekly broadcast leader mr neil hamilton ,@ukip,-2,conservative
53,breaking: katie hopkins stand candidate london elections ,@ukip,-2,conservative
54,"ukip leader, says #ukip back track! we're afraid tackle difficult issues parties want sweep rug. join us exciting journey become real alternative tired establishment parties - ",@ukip,-2,conservative
55,uk independence party consistently stood free speech lib/lab/con establishment (recent term… ,@ukip,-2,conservative
56,exclusive: katie hopkins tipped ukip election run london via ,@ukip,-2,conservative
57,"happened daring speak mind equality act (which urgently needs scrapping) frighten us all. legal profession surrenders 'woke' country lost. ukip right behind you, jon! ",@ukip,-2,conservative
58,exclusive: calls google big tech defunds politicalite via ,@ukip,-2,conservative
59,katie hopkins currently live ,@ukip,-2,conservative
60,deeply saddened news captain sir tom moore's death. beacon hope steadfast positivity many a… ,@ukip,-2,conservative
61,proud british fast becoming unspeakable statement. ukip's #katiehopkins says need bring back pride flag nation hope uniting country. ,@ukip,-2,conservative
62,people think patriotism bad thing. sad see. ,@ukip,-2,conservative
63,stop. importing. covid. ,@ukip,-2,conservative
64,leaders interview ,@ukip,-2,conservative
65,"vaccine row shown eu anti-free market bully afraid tear rule book pursuit enhancing power cartel, writes ukip's ",@ukip,-2,conservative
