leaning, phrase
Liberal,"RT @GeoffRBennett: Wow. Included in Twitter’s statement, explaining why it banned Trump: “Plans for future armed protests have already begu…"
Liberal,"@GrimKim Swaths of rioters were staying at DC hotels that go for hundreds a night."
Liberal,"RT @TwitterSafety: After close review of recent Tweets from the @realDonaldTrump account and the context around them we have permanently su…"
Liberal,"Good to see this development from @Apple. @GooglePlay what are you going to do about apps being used to organize violence on your platform? https://t.co/wWVSERcRSH"
Liberal,"What are @Apple and @GooglePlay doing about this? https://t.co/Upb2BxZOQZ"
Liberal,"RT @mkraju: Sen. Wyden becomes second Dem to call on Cruz and Hawley to resign. “There must be consequences for senators who would foment a…"
Liberal,"RT @MacFarlaneNews: US Justice Dept says it has NO indication Antifa played any role in Wednesday chaos at US Capitol"
Liberal,"I am calling on Congress and currently working on measures to extend resources, healthcare, counseling, and hazard pay to all Capitol custodial, food service, and support staff after Wednesday’s attack.\n\nEveryone who was there needs support."
Liberal,"RT @kylegriffin1: Reps. Pressley, Tlaib, Bowman, Bush, Ocasio-Cortez, and Omar have sent a letter to Congressional leadership urging them t…"
Liberal,"RT @burgessev: !!!! Sen. Murray, No. 3 Senate Democrat: \"Any Senator who stands up and supports the power of force over the power of democr…"
Liberal,"RT @therecount: Impeachment, it's not just Democrats. \n\nSen. Ben Sasse (R-NE) says if the House pursues impeachment he will “definitely con…"
Liberal,"To my GOP colleagues: know that this President incited an insurrection against and incited his mob to find, harm, and possibly kill not just Democrats, but you, too.\n\nHe *will* allow opportunities of physical harm against you if you aren’t sufficiently loyal to him. Remove him."
Liberal,"“Move on?”\n\n“Moving on” does not mean “forget about it,” @LindseyGrahamSC.\n\n“Moving on” requires accountability.\n\nAttacking our nation without recourse or responsibility isn’t “moving on.” A Capitol Police officer just died. Why are you defending this? https://t.co/yTjh6ikNJs"
Liberal,"RT @BetoORourke: This is on you. Resign."
Liberal,"RT @AyannaPressley: Don’t call these cabinet resignations anything but a Profile in Cowardice.\n\nThey’re resigning to avoid invoking the 25t…"
Liberal,"RT @ilyseh: !!!!! \"Facebook’s own research revealed that 64 percent of the time a person joins an extremist Facebook Group, they do so beca…"
Liberal,"RT @AlexThomp: Sen. Coons, considered one of Biden's best ambassadors w/ GOP Senators, calls on Hawley and Cruz to step down @marianne_levi…"
Liberal,"You fist-pumped insurrectionists and baselessly attacked our elections. Your actions fueled a riot and you fundraised in the chaos. Five people are dead.\n\nEven your GOP colleagues have distanced from your acts.\n\nYet here you are crying over a book deal. You should be expelled. https://t.co/9Xn8T9vol4"
Liberal,"RT @kyledcheney: This is really hard to fathom:\n\nLOFGREN says the chief of the Capitol Police was \"not truthful with me\" about whether the…"
Liberal,"RT @JonLemire: Three days before the pro-Trump riot at the Capitol, the Pentagon asked the U.S Capitol Police if it needed National Guard m…"
Liberal,"Trump and his team are trying to cover their actions yesterday and avoid being identified for inciting an attack on Congress.\n\nHe is a clear + present danger as long as he is in office. Reports are indicating that he is unwell and getting worse. He must be removed from office."
Liberal,"Trump did NOT immediately send out the National Guard.\n\nNo initial presence. Clashes began ~1:20pm. The breach happened (roughly) around 2/2:30. Around 3:38pm, DC council tweeted their request for National Guard was DENIED.\n\nWhen NG was approved, Trump wasn’t cited in decision. https://t.co/xYqnxY5zIF https://t.co/SD5vwO1Ory"
Liberal,"RT @JulianCastro: Ted Cruz’s lies helped fuel a mob of domestic terrorists to overtake the U.S. Capitol. And then he fundraised off of it.…"
Liberal,"Resign."
Liberal,"Your complete refusal to acknowledge any of the above harm, wrongdoing, or even misjudgement; &amp; your lack of any self-reflection in how these acts contributed to yesterday’s chaos is alarming. It is unbecoming of any elected official and makes you unfit for the office you occupy."
Liberal,"Oh - you’re accusing me of lying?\n\nIsn’t this you? Your campaign sent out this fundraising message as people were sieging the Capitol. You claimed to be “leading the fight to reject electors.”\n\nClashes started around 1:20pm. This message was sent after the Capitol was breached. https://t.co/qb56RxcfSy https://t.co/oAf16aHktc"
Liberal,"RT @kyledcheney: Rep. LOFGREN, who chairs the House Administration Committee, says the Capitol Police chief incorrectly told her that the N…"
Liberal,"RT @RepMcGovern: Is this a joke? You do not stand with the people. If you stood with the people, you would tell them the truth instead of l…"
