leaning,tweet
liberal,"RT @GeoffRBennett: Wow. Included in Twitter’s statement, explaining why it banned Trump: “Plans for future armed protests have already begu…"
liberal,@GrimKim Swaths of rioters were staying at DC hotels that go for hundreds a night.
liberal,RT @TwitterSafety: After close review of recent Tweets from the @realDonaldTrump account and the context around them we have permanently su…
liberal,Good to see this development from @Apple. @GooglePlay what are you going to do about apps being used to organize violence on your platform? https://t.co/wWVSERcRSH
liberal,What are @Apple and @GooglePlay doing about this? https://t.co/Upb2BxZOQZ
liberal,RT @mkraju: Sen. Wyden becomes second Dem to call on Cruz and Hawley to resign. “There must be consequences for senators who would foment a…
liberal,RT @MacFarlaneNews: US Justice Dept says it has NO indication Antifa played any role in Wednesday chaos at US Capitol
liberal,"I am calling on Congress and currently working on measures to extend resources, healthcare, counseling, and hazard pay to all Capitol custodial, food service, and support staff after Wednesday’s attack.

Everyone who was there needs support."
liberal,"RT @kylegriffin1: Reps. Pressley, Tlaib, Bowman, Bush, Ocasio-Cortez, and Omar have sent a letter to Congressional leadership urging them t…"
liberal,"RT @burgessev: !!!! Sen. Murray, No. 3 Senate Democrat: ""Any Senator who stands up and supports the power of force over the power of democr…"
liberal,"RT @therecount: Impeachment, it's not just Democrats. 

Sen. Ben Sasse (R-NE) says if the House pursues impeachment he will “definitely con…"
liberal,"To my GOP colleagues: know that this President incited an insurrection against and incited his mob to find, harm, and possibly kill not just Democrats, but you, too.

He *will* allow opportunities of physical harm against you if you aren’t sufficiently loyal to him. Remove him."
liberal,"“Move on?”

“Moving on” does not mean “forget about it,” @LindseyGrahamSC.

“Moving on” requires accountability.

Attacking our nation without recourse or responsibility isn’t “moving on.” A Capitol Police officer just died. Why are you defending this? https://t.co/yTjh6ikNJs"
liberal,RT @BetoORourke: This is on you. Resign.
liberal,"RT @AyannaPressley: Don’t call these cabinet resignations anything but a Profile in Cowardice.

They’re resigning to avoid invoking the 25t…"
liberal,"RT @ilyseh: !!!!! ""Facebook’s own research revealed that 64 percent of the time a person joins an extremist Facebook Group, they do so beca…"
liberal,"RT @AlexThomp: Sen. Coons, considered one of Biden's best ambassadors w/ GOP Senators, calls on Hawley and Cruz to step down @marianne_levi…"
liberal,"You fist-pumped insurrectionists and baselessly attacked our elections. Your actions fueled a riot and you fundraised in the chaos. Five people are dead.

Even your GOP colleagues have distanced from your acts.

Yet here you are crying over a book deal. You should be expelled. https://t.co/9Xn8T9vol4"
liberal,"RT @kyledcheney: This is really hard to fathom:

LOFGREN says the chief of the Capitol Police was ""not truthful with me"" about whether the…"
liberal,"RT @JonLemire: Three days before the pro-Trump riot at the Capitol, the Pentagon asked the U.S Capitol Police if it needed National Guard m…"
liberal,"Trump and his team are trying to cover their actions yesterday and avoid being identified for inciting an attack on Congress.

He is a clear + present danger as long as he is in office. Reports are indicating that he is unwell and getting worse. He must be removed from office."
liberal,"Trump did NOT immediately send out the National Guard.

No initial presence. Clashes began ~1:20pm. The breach happened (roughly) around 2/2:30. Around 3:38pm, DC council tweeted their request for National Guard was DENIED.

When NG was approved, Trump wasn’t cited in decision. https://t.co/xYqnxY5zIF https://t.co/SD5vwO1Ory"
liberal,RT @JulianCastro: Ted Cruz’s lies helped fuel a mob of domestic terrorists to overtake the U.S. Capitol. And then he fundraised off of it.…
liberal,Resign.
liberal,"Your complete refusal to acknowledge any of the above harm, wrongdoing, or even misjudgement; &amp; your lack of any self-reflection in how these acts contributed to yesterday’s chaos is alarming. It is unbecoming of any elected official and makes you unfit for the office you occupy."
liberal,"Oh - you’re accusing me of lying?

Isn’t this you? Your campaign sent out this fundraising message as people were sieging the Capitol. You claimed to be “leading the fight to reject electors.”

Clashes started around 1:20pm. This message was sent after the Capitol was breached. https://t.co/qb56RxcfSy https://t.co/oAf16aHktc"
liberal,"RT @kyledcheney: Rep. LOFGREN, who chairs the House Administration Committee, says the Capitol Police chief incorrectly told her that the N…"
liberal,"RT @RepMcGovern: Is this a joke? You do not stand with the people. If you stood with the people, you would tell them the truth instead of l…"
liberal,@ryangrim @RepMaxineWaters This is exactly what was told to my team when we reached out days prior to the attack. Practically verbatim.
