political, tweet
POLIT,"Global Voices Online Ã‚Â» Alex Castro: A liberal, libertarian and libertine Brazilian blogger http://ff.im/-6izrC"
POLIT,"Do the Conservatives Have a Death Wish? http://bit.ly/323Kq5"
NOT,"@MMFlint I've seen all of your movies and Capitalism is my favorite. Keep up the great work!"
POLIT,"RT @AllianceAlert: * House Dems ask for civility at town halls and invoke George Washington in quest for socialism http://bit.ly/19BktL"
POLIT,"RT @AdamSmithInst Quote of the week: My political opinions lean more and more towards Anarchy http://bit.ly/71NT5u &lt;Tolkien the anarchist?!"
NOT,"@DeeptiLamba LOL, I like quotes. Feminist, anti-men quotes."
POLIT,"@mystic23 I also think that most liberals don't spend a lot of time thinking about tolerating. Tolerance connotes condescension."
POLIT,"@Karoli check @RepJackKimble explains brownshirts. Conservative action plan for august recess http://bit.ly/1902Aa All mtgs disrupted"
POLIT,"Finally US asks for extradition of Polanski - what were they waiting for? http://news.bbc.co.uk/1/hi/world/europe/8321927.stm #feminism"
POLIT,"RT @Shoq: FUNNY! Teabagger @sanuzis quoting (but not understanding) Liberal Justice. William O Douglas. WHAT A HOOT http://bit.ly/6AO ..."
POLIT,"progressives continue to fight for both “Medicare for All“ and the hybrid public option. http://bit.ly/qe8r"
POLIT,"RT @1ststarfighter RT @IAmSoSmart:RT @davegj: Anti-capitalism Propgnda aimed @ UR KIDS! http://bit.ly/NL0gd #gop #tcot #iamthemob #right"
POLIT,"Rooting for the United States to fail - Northwest Progressive Institute Official Blog (blog) http://cli.gs/BSQBG"
POLIT,"Another Liberal from Massachusetts Attacks Palin and Proves That He DoesnÃ¢â‚¬â„¢t Know What HeÃ¢â‚¬â„¢s Talking About http://bit.ly/1apDVO"
NOT,"From CTIA: The rise of open mobile (and congratulations Android team): [Richard Wong, a venture capitalist with.. http://bit.ly/P5wYT"
NOT,"RT @pauldramos: RT @pauldramos: RT @Carivintas: Live progressive jazz 2night from 6 till 9 pm! Come jazz and joll?!?"
POLIT,"Is your faith in the city's progressives strong enough to move mountains? How about 109-year old homes: SFAppeal http://bit.ly/M7QQO"
POLIT,"Socialists have declared jihad on the Constitution and attack on several fronts"
NOT,"@MMFlint Have a good time mike ,Capitalism ! Whats not to like ! lol!"
NOT,"I've got a problem with a venture capitalist."
NOT,"Add me!!! RT @FightTheSmearsI wonder... http://twitter.com/mobwatch ...don't you? Please RT #tcot #tlot #conservative #gop #iamthemob #mob"
POLIT,"RT @Joshuabradenp: The Conservative stands on the shoulders of our Founders... While the Liberal stands on their throats! #p2 #ucot @JoeNBC"
NOT,"Chapter 10 of Ethical Socialism is published: All comments are welcomed.Ã‚Â  Click on this link to read it.&n.. http://bit.ly/6L7IJd"
POLIT,"RE: @tvnewser Overall excellence? All this is about... is having Liberals handing out their awards to NBC, the biggest LÃ¢â‚¬Â¦ http://disq.us/px0"
POLIT,"NatPost David Akin: Detainee issue? What detainee issue?: The federal Conservatives headed into.. http://cli.gs/3peqB #polhack"
POLIT,"RT @GOT2SNAP: #CNN PROTEST! #TCOTCan You Hear Us Now? Liberal Media Bias Called Out! Tea P... http://bit.ly/19VJob"
POLIT,"Feminism Is Key To 'Making Of A Slave' http://ur1.ca/f3lo"
POLIT,"RT @Mickeleh: Who has healthcare leverage in Dem. Cong. CaucusÃ¢â‚¬â€Blue Dogs or the progressives? Good analysis from mcjoan http://bit.ly/4uCx6b"
POLIT,"STAND UP FOR BECK:RT @organicsgrow P&G 513-983-1100 Progressive Christy 440-395-0135 Coleen 937-865-1624 here r #s 2 call that dropped ads"
POLIT,"RT @SmartGirlNation New article:Is there room in the Republican tent for conservatives? http://tinyurl.com/ygux6cj @mkhammer @karlrove #tcot"
POLIT,"There are no barriers between us (men vs women), Miss Venezuela? Really? I'm no hardcore feminist, but that's a little naive of her."
POLIT,"rt rt rt rt Video: Walter Cronkite In Defense of Liberalism: http://bit.ly/YLxVp (via @amadril @EileenLeft).. http://tinyurl.com/mcm8wl [RT]"
NOT,"I hate Flo from the Progressive commercials. So fkn annoying."
POLIT,"The new capitalism http://bit.ly/2OJcfG #capitalism #socent"
POLIT,"The Underground Conservative: Al-CNN Tries Smearing 9/12 As Ã¢â‚¬Â¦: 5 Ã¢â‚¬Â¦ 4 Ã¢â‚¬Â¦ 3 Ã¢â‚¬Â¦ 2 Ã¢â‚¬Â¦ 1 Ã¢â‚¬Â¦.. http://bit.ly/WWN4M"
POLIT,"Reds under beds! RT @JaanKyle @nelsontejada oh hell yeah he was, racist as all hell. and socialist"
POLIT,"RT @kasons4: @stunetii Are you frickin kidding me. <<<looney liberal>>>> #tcot #912 #iamthemob. Look, More right wing name calling"
NOT,"Apparently, British twitterers are flocking to defend the NHS with #welovethenhs hashtag. Brainwashed socialists."
NOT,"I am listening to the Tea Time with Toni No Bologny show by Socialist Squirrel on #BlogTalkRadio - http://tobtr.com/s/632863"
POLIT,"The Sonoran Alliance: Tom HorneÃ¢â‚¬â„¢s liberal record: As the political prospects of Superintendent of Public Instruc.. http://bit.ly/xRoRD"
POLIT,"OK the Republican party (Socialism Lite) is not standing up for the Constitution. They want to implement their plan.. NO PLAN! Jeez.."
POLIT,"I thought conservatives we're champions of personal responsibility, the crux of this msg. Maybe they just hate the messenger? #hypocrisy"
POLIT,"The Death of a Liberal Lion Commands ... - The ... http://bit.ly/t6tFl"
NOT,"For order at Amazon: The Art of Not Being Governed: An Anarchist History of Upland Southeast Asia (Yale Agrarian Ã‚Â£16.50 http://omani.ac/97g"
POLIT,"@AmandaCarpenter I think Conservatives owe Glenn Beck a major debt, certainly the GOP that sat on their hands and were johnny come lately."
NOT,"The Good Communist: Elite Training and State Building in Today's China - by Frank N. Pieke - Cambridge University Press. http://j.mp/6BuZW0"
POLIT,"http://bit.ly/Xju2q Conservative Revolutionary American Party III: '.. http://tinyurl.com/ya6dgjf http://bit.ly/Xju2q"
NOT,"I just took the “What does your hair say about you?“ quiz and got: Conservative! Try it: http://bit.ly/hYyVJ #lolquiz"
POLIT,"But, of course, the 50m uninsured who might be saved by such reform represent a voiceless minority, silent in a conservative shadow..."
POLIT,"Iowa Liberal: Health care reform is most vehemently opposed among people who think Bush was a pussy for not taki.. http://bit.ly/492Ryr"
POLIT,"Is the “C“ in “C Street“ for “Christian Conservative“ or “Cultlike?“ http://bit.ly/RQjpT"
POLIT,"St. Pete Times known for liberal media bias; has a “slobbering love affair“ w/ Obama Do I need 2 cancel my sub? Is USAToday any better???"
POLIT,"RT @svrgn_nation: Step back are REALLY look at situation. || Tell me. Show me evidence of all this new “communism“."
NOT,"Senator Ted Kennedy , the indefatigable liberal icon has died http://is.gd/2z4wh"
POLIT,"Kristin Schall from the Socialist Party USA live on AndrewAndrew SoundSound www.evr.com! Listen Live!"
POLIT,"Big Government ObamaÃ¢â‚¬â„¢s Anti-Capitalist Policies Are Anti-Job and Therefore Anti-Recovery http://ow.ly/164qCr"
NOT,"MPR News: FDA warns of progressive multifocal leukoencephalopathy (PML) risk with Tysabri: The FDA cont.. http://bit.ly/ke2nc"
POLIT,"back from vacation. Check out the new post on #polanski and #feminists. http://tinyurl.com/qwjtwd #tcot #tlot #teaparty #ocra #libertarian"
NOT,"http://soundclick.com/share?songid=8518764 Collapse is Number 4 in all of metal on soundclick! It's number 1 in Progressive metal!"
POLIT,"A conservative Rev Wright. http://ow.ly/pQ9n"
NOT,"Better dead than Red! RT @urbanicm @ethankaye Soccer is communist. Spinbike is merely socialist."
NOT,"Kaufmann foundation-funded “Capitalism and Society“ focuses on innovation and entrepreneurship. Check it out at http://www.bepress.com/cas/"
POLIT,"Portugal's Socrates looks for coalition partners: Portugal's ruling Socialist government has begun preparing fo.. http://bit.ly/WboiE"
POLIT,"RT @fredmaidment: Ah, yes. Government stupidity, in any political stripe, is always fun. #GOP #libertarian #fail #travel http://bit.ly/bLFH0"
POLIT,"A polarized, divided, two party system is unsustainable. Not working. Whatever the conservatives say is immediately discredited."
POLIT,"Jerry Falwell - The conservative elite and corporate monopolies - http://bit.ly/1388hx"
POLIT,"BTW Libs... the Hitler/Obama comparison=BOTH ARE SOCIALISTS. Has nothing to do with genocide. B. Frank doesn't get it! http://bit.ly/aHCA2"
POLIT,"Why I'm A Conservative Republican this old but it's still great http://bit.ly/di5j1"
POLIT,"Reuters: Palin: Ready to shake things up in New York - Sarah Palin on Thursday endorsed Conservative Party candidat... http://ow.ly/15WLQe"
POLIT,"When liberals protest it's the highest form of patriotism. When conservatives protest it's “manufactured anger“. CNN ...you're stupid."
POLIT,"RT @IBDeditorials: Socialism died and was reincarnated as environmentalism. http://bit.ly/4PrC2W"
POLIT,"What is it about the Liberal mind that compels it to attack the messenger rather than the message? Methinks a lack of facts and evidence!"
POLIT,"RT@BPTBlogWhite House Characterizes Debate over Socialism as Longstanding American History - Bill Wilson http://bit.ly/sqogY"
POLIT,"@jenciTN you're not allowed to be libertarian, they believe that altruism is a sin http://bit.ly/5zP89X"
POLIT,"Christians struggling in captive nations.....believers still dying at the hands of atheist communists"
POLIT,"RT @Austinstumpff Fear Of A Black President: Conservative Media Drumming Up Racial Fear http://bit.ly/OfWda #birthers #racism"
NOT,"@1stnations @anarchists @ChinaBroker @UYGHURS Thanks for retweeting the Ainu booklet giveaway. http://bit.ly/3KA43e"
POLIT,"An example of not being political correctness is yelling from the rooftops : OBAMA IS A COMMUNIST! It's true so YELL it!"
NOT,"@simonech I'm generally liberal in deleting those no@no.com comments if they aren't constructive."
POLIT,"ElBaradei?s Swan Song #libertarian http://bit.ly/Gv28q"
POLIT,"I think Ron Paul is the spokesman for libertarians and no1 can surpass that"
POLIT,"Crooks Catching Crooks #libertarian http://bit.ly/oqsWH"
POLIT,"Just Say NO to ObamaCare & Socialism http://bit.ly/IpYGS @NancyPelosi @bacaca43 @repjohnbarrow @KarlRove #tweetcongress"
NOT,"@SafariAl Thx 4 Re-Tweeting VIDEO #NY23 AD http://tinyurl.com/yjvazsd Club4Growth SLAMS 2 Liberals Owens + RINO Dede #levin"
POLIT,"RT @lotfan The son of advisor to #Iran's defeated conservative presidential candidate Mohsen Rezaie was killed in prison http://bit.ly/tKbU6"
POLIT,"Just when we needed another conservative voice: http://www.politico.com/news/stories/0809/26220.html #tcot #novak"
POLIT,"wow. Premier Wen talked about Adam Smith's “Invisible Hand“. A little weird coming from one of the top brass of Socialist China"
POLIT,"RT @KenShepherd: Today Chris Matthews was lamenting how libertarian-friendly the public sentiment is coming, particularly on gun rights."
POLIT,"Communist Obama uses people to push his communist agenda in the background!!! http://obamaisabitch.wordpress.com/"
POLIT,"@prognosys And guess what? It's wrong. You're such a mindless shill that you can't even tell right from wrong. Typical liberal hypocrite..."
POLIT,"Liberal Smash: A Jackson, Mississippi Update: On July 6, 2009, Jackson shall welcome back the former Mayor Harve.. http://tinyurl.com/kkg4g6"
POLIT,"RT @southsalem O holding yr life/lives of loved ones in Chicago socialist Rationing/Death Panel Hands - No time 2 B Polite #JoeWilson #tcot"
POLIT,"2 @CalebHowe Others think he's the anti-Christ. That's why liberals tend to get butts kicked in policy, we're NOT one-minded enough!"
POLIT,"RT @StumpReport: Unfortunately, 4 not only the American ppl but the world, R newly elected President, as it seems, is a closet Socialist."
NOT,"RT @dailyobamajokes: Why is the liberal drug of choice LSD? They can spell it."
